"Posição","Nome","Localidade","2005","2007","2009","2011","2013","2015","2017","2019","2021","Unidade","Multiplicador"
"1","Índice de Desenvolvimento da Educação Básica",,,,,,,,,,,"",""
"1.1","Ensino fundamental",,,,,,,,,,,"",""
"1.1.1","Anos iniciais",,,,,,,,,,,"",""
"1.1.1.1","Pública","Martinópole","3.0","4.0","4.4","5.3","6.4","6.5","7.3","8.6","6.9","",""
"1.1.1.1","Pública","Massapê","3.2","3.7","4.0","4.8","4.7","7.6","6.5","7.0","7.5","",""
"1.1.1.1","Pública","Mauriti","2.3","2.9","4.1","4.9","5.1","5.5","6.0","5.6","5.0","",""
"1.1.1.1","Pública","Meruoca","2.8","3.2","4.6","5.3","6.1","7.1","7.9","7.5","7.3","",""
"1.1.1.1","Pública","Milagres","2.6","3.5","3.5","4.0","4.9","5.0","4.8","5.3","4.9","",""
"1.1.1.1","Pública","Milhã","-","3.2","4.3","6.0","5.3","7.7","8.4","8.7","8.6","",""
"1.1.1.1","Pública","Miraíma","3.3","3.4","4.1","4.2","4.5","4.8","5.2","5.5","5.0","",""
"1.1.1.1","Pública","Missão Velha","2.5","3.0","3.3","3.9","4.1","6.1","4.9","5.9","4.7","",""
"1.1.1.1","Pública","Mombaça","3.0","3.2","4.1","4.7","4.7","5.8","5.9","6.8","6.6","",""
"1.1.1.1","Pública","Monsenhor Tabosa","1.8","2.7","3.4","4.3","4.6","5.5","6.4","6.0","6.8","",""
"1.1.1.1","Pública","Morada Nova","3.3","2.6","3.4","4.3","4.4","5.0","5.4","5.7","5.7","",""
"1.1.1.1","Pública","Moraújo","-","3.3","3.9","4.9","5.5","6.2","6.4","6.4","6.1","",""
"1.1.1.1","Pública","Morrinhos","2.9","3.1","4.2","5.5","5.7","6.7","6.4","6.7","5.7","",""
"1.1.1.1","Pública","Mucambo","3.5","4.5","4.9","7.5","6.2","6.1","6.8","9.4","9.4","",""
"1.1.1.1","Pública","Mulungu","2.5","3.1","3.8","4.5","5.4","5.1","5.4","6.8","5.6","",""
"1.1.1.1","Pública","Nova Olinda","2.7","4.0","4.4","5.4","6.5","7.5","7.0","6.0","6.7","",""
"1.1.1.1","Pública","Nova Russas","2.8","3.0","3.2","4.1","4.4","5.1","5.8","7.6","7.2","",""
"1.1.1.1","Pública","Novo Oriente","3.3","3.4","4.4","6.4","7.6","7.9","7.6","8.3","8.9","",""
"1.1.1.1","Pública","Ocara","2.8","2.7","3.6","4.6","5.0","6.0","5.8","6.2","5.9","",""
"1.1.1.1","Pública","Orós","2.6","2.9","3.4","4.6","4.3","5.0","5.9","6.1","5.6","",""
"1.1.1.1","Pública","Pacajus","2.5","3.1","3.9","4.7","5.0","5.7","6.0","6.4","6.4","",""
"1.1.1.1","Pública","Pacatuba","3.6","3.4","4.1","4.6","4.8","5.3","5.6","6.0","5.5","",""
"1.1.1.1","Pública","Pacoti","3.1","3.5","3.7","-","5.2","5.3","5.1","5.8","5.2","",""
"1.1.1.1","Pública","Pacujá","3.3","3.3","3.6","4.6","4.8","6.8","6.9","7.0","7.2","",""
"1.1.1.1","Pública","Palhano","3.1","2.9","4.1","4.9","5.3","6.0","6.1","6.2","6.3","",""
"1.1.1.1","Pública","Palmácia","3.3","3.1","3.4","4.3","4.9","5.5","5.5","6.3","5.8","",""
"1.1.1.1","Pública","Paracuru","3.6","4.0","4.7","5.5","5.0","5.7","5.6","6.2","6.6","",""
"1.1.1.1","Pública","Paraipaba","3.4","4.0","4.3","4.8","5.4","6.4","5.9","6.1","5.9","",""
"1.1.1.1","Pública","Parambu","3.1","4.0","4.1","4.7","5.5","6.0","6.1","6.8","6.3","",""
"1.1.1.1","Pública","Paramoti","2.8","3.2","4.0","4.5","4.2","5.3","5.1","4.7","5.8","",""
"1.1.1.1","Pública","Pedra Branca","3.3","3.2","5.1","6.6","5.6","6.2","7.3","8.1","8.6","",""
"1.1.1.1","Pública","Penaforte","2.5","4.1","4.0","5.0","5.5","6.3","6.7","6.4","5.2","",""
"1.1.1.1","Pública","Pentecoste","3.0","3.5","3.8","4.5","5.2","5.8","6.6","6.8","6.1","",""
"1.1.1.1","Pública","Pereiro","2.9","3.4","4.1","4.4","5.5","5.6","6.2","6.3","6.6","",""
"1.1.1.1","Pública","Pindoretama","-","3.0","4.0","5.0","4.9","5.8","6.2","6.3","6.1","",""
