"Posição","Nome","Localidade","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","Unidade","Multiplicador"
"1","Taxa de mortalidade infantil","Groaíras","12.9","14.49","6.67","16","8.2","15.15","39.47","16.67","13.89","30.61","-","16.81","7.87","6.1","20.55","-","-","óbitos por mil nascidos vivos",1
"1","Taxa de mortalidade infantil","Guaiúba","14.29","17.6","13.48","15.67","17.91","8.13","8.26","9.23","8.11","9.4","8.5","5.83","14.16","11.94","3.24","10.14","11.63","óbitos por mil nascidos vivos",1
"1","Taxa de mortalidade infantil","Guaraciaba do Norte","14.84","20.32","11.15","12.84","22.01","9.23","24.43","12.09","13.49","6.59","15.97","19.12","15.94","18.76","9.1","13.29","8.42","óbitos por mil nascidos vivos",1
"1","Taxa de mortalidade infantil","Guaramiranga","9.43","-","10.2","22.73","-","31.25","10.53","-","-","13.7","13.33","-","-","14.93","-","11.63","13.51","óbitos por mil nascidos vivos",1
"1","Taxa de mortalidade infantil","Hidrolândia","20.2","3.55","27.87","7.04","10.83","9.39","17.24","25.97","9.9","9.8","16.57","14.63","3.66","3.92","12.5","8.33","17.32","óbitos por mil nascidos vivos",1
"1","Taxa de mortalidade infantil","Horizonte","14.65","9.39","14.64","15.37","14.75","6.74","9.54","7.8","14.08","7.76","8.94","4.85","7.79","4.1","9.7","8.21","13.35","óbitos por mil nascidos vivos",1
"1","Taxa de mortalidade infantil","Ibaretama","7.75","20.66","26.18","22.62","18.1","10.1","5.08","16.48","9.62","34.31","42.25","46.63","19.61","9.85","5.49","41.42","12.12","óbitos por mil nascidos vivos",1
"1","Taxa de mortalidade infantil","Ibiapina","13.7","18.96","24.27","22.9","10.5","20.29","14.71","20.23","24.17","13.59","16.67","23.12","7.79","7.98","2.61","2.65","5.21","óbitos por mil nascidos vivos",1
"1","Taxa de mortalidade infantil","Ibicuitinga","12.42","11.3","28.57","12.2","-","11.43","-","5.08","25.64","-","7.09","6.41","6.71","-","-","25.21","8.77","óbitos por mil nascidos vivos",1
"1","Taxa de mortalidade infantil","Icapuí","7.17","18.73","12.82","14.13","17.62","3.97","18.35","21.55","7.69","14.93","8.2","11.15","-","16.33","3.77","-","19.9","óbitos por mil nascidos vivos",1
"1","Taxa de mortalidade infantil","Icó","20.37","16.98","10.6","24.11","14.21","18.37","13.61","10.25","15.74","23.26","11.89","7.74","7.8","6.72","6.01","5.71","13.72","óbitos por mil nascidos vivos",1
"1","Taxa de mortalidade infantil","Iguatu","18.47","17.3","17.28","14.3","8.52","8.78","12.21","20.55","11.49","7.19","14.33","18.63","12.07","8.77","10.45","9.8","11.12","óbitos por mil nascidos vivos",1
"1","Taxa de mortalidade infantil","Independência","23.81","19.66","14.66","23.26","8.72","9.32","16.03","15.27","16.23","13.7","11.54","20.27","21.67","22.47","16.61","32.57","23.73","óbitos por mil nascidos vivos",1
"1","Taxa de mortalidade infantil","Ipaporanga","36.27","27.17","15.71","28.17","28.9","11.83","15.15","29.85","14.49","12.5","14.29","13.25","6.58","-","7.75","35.97","22.56","óbitos por mil nascidos vivos",1
"1","Taxa de mortalidade infantil","Ipaumirim","14.29","35.09","32.43","21.98","12.58","18.52","21.58","14.29","6.45","37.04","40","18.99","15.15","6.8","8.62","8.47","25","óbitos por mil nascidos vivos",1
"1","Taxa de mortalidade infantil","Ipu","15.31","18.55","13.93","10.03","9.98","23.89","14.01","10.66","8.99","10.53","7.21","10.26","17.91","8.94","7.23","9.27","12.87","óbitos por mil nascidos vivos",1
"1","Taxa de mortalidade infantil","Ipueiras","31.65","32.53","24.39","16.57","22.77","26.41","18.15","14.89","19.35","16.6","22.08","8.25","11.39","10.35","9.56","16.99","8.85","óbitos por mil nascidos vivos",1
